Item number,Title,Variation details,Custom label (SKU),Available quantity,Format,Currency,Start price,Auction Buy It Now price,Reserve price,Current price,Sold quantity,Watchers,Bids,Start date,End date,eBay category 1 name,eBay category 1 number,eBay category 2 name,eBay category 2 number,Condition,CD:Professional Grader - (ID: 27501),CD:Grade - (ID: 27502),CDA:Certification Number - (ID: 27503),CD:Card Condition - (ID: 40001),eBay Product ID(ePID),Listing site,P:UPC,P:EAN,P:ISBN
"165773381256",Polteageist Non-Holo - HALLOWEEN TRICK OR TRADE - Pokemon TCG Card  # 083/189,,,"3","FIXED_PRICE","USD",1.75,,,1.75,"0","0","","Nov-11-22 13:03:16 PST","May-11-26 13:03:16 PDT","CCG Individual Cards","183454","","","Ungraded","","","","Near mint or better","","US","","",""
"165774003296",Beedrill - MINT / NEAR MINT -  2020 Pokemon Card Japanese 003/067 c,,,"1","FIXED_PRICE","USD",1.75,,,1.75,"0","0","0","Nov-11-22 22:22:03 PST","May-11-26 22:22:03 PDT","CCG Individual Cards","183454","","","Ungraded","","","","Near mint or better","","US","","",""
"165775351759",1996 Metal Football Card #55 Jim Harbaugh Foil Holo - Football Sports Cards,,,"1","FIXED_PRICE","USD",2.12,,,2.12,"0","0","","Nov-12-22 19:52:17 PST","May-12-26 19:52:17 PDT","Trading Card Singles","261328","","","Ungraded","","","","Very good","","US","","",""
"165775355404",1994 Topps Stadium Club #382 Gary Brown NFL Football Card,,,"1","FIXED_PRICE","USD",1.75,,,1.75,"0","0","","Nov-12-22 19:56:35 PST","May-12-26 19:56:35 PDT","Trading Card Singles","261328","","","Ungraded","","","","Very good","","US","","",""
"165775355782",1994  WHITE SHOES JOHNSON - Ted Williams Football Card- # 24 - Houston Oilers  ,,,"1","FIXED_PRICE","USD",1.75,,,1.75,"0","1","","Nov-12-22 19:57:49 PST","May-12-26 19:57:49 PDT","Trading Card Singles","261328","","","Ungraded","","","","Near mint or better","","US","","",""
"165775356140",1992 Topps Bruce Matthews Houston Oilers #239 Football Sports Card,,,"1","FIXED_PRICE","USD",1.75,,,1.75,"0","0","","Nov-12-22 19:58:47 PST","May-12-26 19:58:47 PDT","Trading Card Singles","261328","","","Ungraded","","","","Near mint or better","","US","","",""
"165775356432",1995 Pinnacle Football Card #105 Ernest Givins Sports Card,,,"1","FIXED_PRICE","USD",1.75,,,1.75,"0","0","","Nov-12-22 19:59:49 PST","May-12-26 19:59:49 PDT","Trading Card Singles","261328","","","Ungraded","","","","Near mint or better","","US","","",""
"165775379857","1991 Fleer Ultra Football - HOF, Stars, RC - Pick Cards #1-150 Lorenzo White",,,"1","FIXED_PRICE","USD",1.75,,,1.75,"0","0","","Nov-12-22 20:31:47 PST","May-12-26 20:31:47 PDT","Trading Card Singles","261328","","","Ungraded","","","","Near mint or better","","US","","",""
"165775381216",1995 Pinnacle Football Card #140 Haywood Jeffires,,,"1","FIXED_PRICE","USD",1.75,,,1.75,"0","0","","Nov-12-22 20:35:56 PST","May-12-26 20:35:56 PDT","Trading Card Singles","261328","","","Ungraded","","","","Near mint or better","","US","","",""
"165775382456",1995 SP Championship RODNEY THOMAS RC card #21 ~ Houston Oilers / Titans ~ F1,,,"1","FIXED_PRICE","USD",1.75,,,1.75,"0","0","","Nov-12-22 20:38:13 PST","May-12-26 20:38:13 PDT","Trading Card Singles","261328","","","Ungraded","","","","Near mint or better","","US","","",""
